ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,CITY,STATE,COUNTRY,PRODUCTLINEID
10145,33,100,8,5176.38,Shipped,3,8,2003,Motorcycles,193,S10_4698,Toys4GrownUps.com,Pasadena,CA,USA,1
10159,22,100,16,4132.7,Shipped,4,10,2003,Motorcycles,193,S10_4698,Corporate Gift Ideas Co.,San Francisco,CA,USA,1
10168,20,100,3,4183,Shipped,4,10,2003,Motorcycles,193,S10_4698,Technics Stores Inc.,Burlingame,CA,USA,1
10201,49,100,4,8065.89,Shipped,4,12,2003,Motorcycles,193,S10_4698,Mini Wheels Co.,San Francisco,CA,USA,1
10237,39,100,9,7023.9,Shipped,2,4,2004,Motorcycles,193,S10_4698,Vitachrome Inc.,NYC,NY,USA,1
10251,43,100,4,7078.23,Shipped,2,5,2004,Motorcycles,193,S10_4698,Tekni Collectables Inc.,Newark,NJ,USA,1
10263,41,100,4,8336.94,Shipped,2,6,2004,Motorcycles,193,S10_4698,Gift Depot Inc.,Bridgewater,CT,USA,1
10285,27,100,8,5438.07,Shipped,3,8,2004,Motorcycles,193,S10_4698,Marta's Replicas Co.,Cambridge,MA,USA,1
10308,20,100,1,4570.4,Shipped,4,10,2004,Motorcycles,193,S10_4698,Mini Classics,White Plains,NY,USA,1
10318,37,100,3,7667.14,Shipped,4,11,2004,Motorcycles,193,S10_4698,Diecast Classics Inc.,Allentown,PA,USA,1
10329,26,100,3,5868.2,Shipped,4,11,2004,Motorcycles,193,S10_4698,Land of Toys Inc.,NYC,NY,USA,1
10362,22,100,4,3664.1,Shipped,1,1,2005,Motorcycles,193,S10_4698,Technics Stores Inc.,Burlingame,CA,USA,1
10388,21,86.77,7,1822.17,Shipped,1,3,2005,Motorcycles,193,S10_4698,FunGiftIdeas.com,New Bedford,MA,USA,1
10143,49,100,15,5597.76,Shipped,3,8,2003,Classic Cars,136,S10_4757,Mini Creations Ltd.,New Bedford,MA,USA,2
10209,39,100,8,5197.92,Shipped,1,1,2004,Classic Cars,136,S10_4757,"Men 'R' US Retailers, Ltd.",Los Angeles,CA,USA,2
10222,49,100,12,5997.6,Shipped,1,2,2004,Classic Cars,136,S10_4757,Collectable Mini Designs Co.,San Diego,CA,USA,2
10295,24,100,1,3427.2,Shipped,3,9,2004,Classic Cars,136,S10_4757,Gifts4AllAges.com,Boston,MA,USA,2
10307,22,100,9,2692.8,Shipped,4,10,2004,Classic Cars,136,S10_4757,"Classic Gift Ideas, Inc",Philadelphia,PA,USA,2
10337,25,48.05,8,1201.25,Shipped,4,11,2004,Classic Cars,136,S10_4757,Classic Legends Inc.,NYC,NY,USA,2
10384,34,100,4,4846.7,Shipped,1,2,2005,Classic Cars,136,S10_4757,Corporate Gift Ideas Co.,San Francisco,CA,USA,2
10400,64,100,9,9661.44,Shipped,2,4,2005,Classic Cars,136,S10_4757,The Sharp Gifts Warehouse,San Jose,CA,USA,2
10140,26,100,4,3188.12,Shipped,3,7,2003,Classic Cars,147,S10_4962,Technics Stores Inc.,Burlingame,CA,USA,2
10183,28,100,1,3433.36,Shipped,4,11,2003,Classic Cars,147,S10_4962,"Classic Gift Ideas, Inc",Philadelphia,PA,USA,2
10207,31,100,15,4076.19,Shipped,4,12,2003,Classic Cars,147,S10_4962,Diecast Collectables,Boston,MA,USA,2
10229,50,100,9,6426.5,Shipped,1,3,2004,Classic Cars,147,S10_4962,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,2
10245,28,100,2,4591.72,Shipped,2,5,2004,Classic Cars,147,S10_4962,Super Scale Inc.,New Haven,CT,USA,2
10281,44,100,9,7020.64,Shipped,3,8,2004,Classic Cars,147,S10_4962,Diecast Classics Inc.,Allentown,PA,USA,2
10305,38,100,13,6680.78,Shipped,4,10,2004,Classic Cars,147,S10_4962,Marta's Replicas Co.,Cambridge,MA,USA,2
10322,46,61.99,8,2851.54,Shipped,4,11,2004,Classic Cars,147,S10_4962,Online Diecast Creations Co.,Nashua,NH,USA,2
10357,43,100,9,5780.92,Shipped,4,12,2004,Classic Cars,147,S10_4962,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,2
10381,37,100,6,6231.54,Shipped,1,2,2005,Classic Cars,147,S10_4962,Corporate Gift Ideas Co.,San Francisco,CA,USA,2
10135,42,100,7,8008.56,Shipped,3,7,2003,Classic Cars,194,S12_1099,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,2
10147,48,100,7,9245.76,Shipped,3,9,2003,Classic Cars,194,S12_1099,Collectables For Less Inc.,Brickhaven,MA,USA,2
10159,41,100,2,8296.35,Shipped,4,10,2003,Classic Cars,194,S12_1099,Corporate Gift Ideas Co.,San Francisco,CA,USA,2
10276,50,100,3,9631,Shipped,3,8,2004,Classic Cars,194,S12_1099,Online Mini Collectables,Brickhaven,MA,USA,2
10329,41,71.47,5,2930.27,Shipped,4,11,2004,Classic Cars,194,S12_1099,Land of Toys Inc.,NYC,NY,USA,2
10127,46,100,2,11279.2,Shipped,2,6,2003,Classic Cars,207,S12_1108,Muscle Machine Inc,NYC,NY,USA,2
10142,33,100,12,8023.29,Shipped,3,8,2003,Classic Cars,207,S12_1108,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,2
10185,21,100,13,3883.74,Shipped,4,11,2003,Classic Cars,207,S12_1108,Mini Creations Ltd.,New Bedford,MA,USA,2
10196,47,100,5,8887.7,Shipped,4,11,2003,Classic Cars,207,S12_1108,Super Scale Inc.,New Haven,CT,USA,2
10272,35,100,2,5818.4,Shipped,3,7,2004,Classic Cars,207,S12_1108,Diecast Classics Inc.,Allentown,PA,USA,2
10282,41,100,5,7071.27,Shipped,3,8,2004,Classic Cars,207,S12_1108,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,2
10371,32,100,6,3560.64,Shipped,1,1,2005,Classic Cars,207,S12_1108,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,2
10382,34,100,10,3823.64,Shipped,1,2,2005,Classic Cars,207,S12_1108,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,2
10413,36,100,2,8677.8,Shipped,2,5,2005,Classic Cars,207,S12_1108,Gift Depot Inc.,Bridgewater,CT,USA,2
10113,21,100,2,3415.44,Shipped,1,3,2003,Trucks and Buses,136,S12_1666,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,3
10140,38,100,8,4829.8,Shipped,3,7,2003,Trucks and Buses,136,S12_1666,Technics Stores Inc.,Burlingame,CA,USA,3
10183,41,100,5,6163.94,Shipped,4,11,2003,Trucks and Buses,136,S12_1666,"Classic Gift Ideas, Inc",Philadelphia,PA,USA,3
10229,25,100,13,3451,Shipped,1,3,2004,Trucks and Buses,136,S12_1666,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,3
10245,38,100,6,5920.4,Shipped,2,5,2004,Trucks and Buses,136,S12_1666,Super Scale Inc.,New Haven,CT,USA,3
10281,25,100,13,2938.5,Shipped,3,8,2004,Trucks and Buses,136,S12_1666,Diecast Classics Inc.,Allentown,PA,USA,3
10322,27,100,9,4784.13,Shipped,4,11,2004,Trucks and Buses,136,S12_1666,Online Diecast Creations Co.,Nashua,NH,USA,3
10333,33,99.21,6,3273.93,Shipped,4,11,2004,Trucks and Buses,136,S12_1666,Mini Wheels Co.,San Francisco,CA,USA,3
10357,49,100,8,5960.36,Shipped,4,12,2004,Trucks and Buses,136,S12_1666,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,3
10381,20,100,1,2952,Shipped,1,2,2005,Trucks and Buses,136,S12_1666,Corporate Gift Ideas Co.,San Francisco,CA,USA,3
10107,21,100,1,3036.6,Shipped,1,2,2003,Motorcycles,150,S12_2823,Land of Toys Inc.,NYC,NY,USA,1
10145,49,100,5,8339.8,Shipped,3,8,2003,Motorcycles,150,S12_2823,Toys4GrownUps.com,Pasadena,CA,USA,1
10159,38,100,13,6238.84,Shipped,4,10,2003,Motorcycles,150,S12_2823,Corporate Gift Ideas Co.,San Francisco,CA,USA,1
10189,28,100,1,4512.48,Shipped,4,11,2003,Motorcycles,150,S12_2823,Toys4GrownUps.com,Pasadena,CA,USA,1
10201,25,100,1,4029,Shipped,4,12,2003,Motorcycles,150,S12_2823,Mini Wheels Co.,San Francisco,CA,USA,1
10237,32,100,6,4193.28,Shipped,2,4,2004,Motorcycles,150,S12_2823,Vitachrome Inc.,NYC,NY,USA,1
10251,46,100,1,7552.28,Shipped,2,5,2004,Motorcycles,150,S12_2823,Tekni Collectables Inc.,Newark,NJ,USA,1
10263,48,100,1,6434.4,Shipped,2,6,2004,Motorcycles,150,S12_2823,Gift Depot Inc.,Bridgewater,CT,USA,1
10276,43,100,14,5181.5,Shipped,3,8,2004,Motorcycles,150,S12_2823,Online Mini Collectables,Brickhaven,MA,USA,1
10285,49,100,5,6863.92,Shipped,3,8,2004,Motorcycles,150,S12_2823,Marta's Replicas Co.,Cambridge,MA,USA,1
10319,30,100,9,4111.8,Shipped,4,11,2004,Motorcycles,150,S12_2823,Microscale Inc.,NYC,NY,USA,1
10329,24,100,6,3542.64,Shipped,4,11,2004,Motorcycles,150,S12_2823,Land of Toys Inc.,NYC,NY,USA,1
10362,22,100,1,3877.06,Shipped,1,1,2005,Motorcycles,150,S12_2823,Technics Stores Inc.,Burlingame,CA,USA,1
10388,44,100,6,5951.44,Shipped,1,3,2005,Motorcycles,150,S12_2823,FunGiftIdeas.com,New Bedford,MA,USA,1
10127,46,100,3,7366.44,Shipped,2,6,2003,Classic Cars,151,S12_3148,Muscle Machine Inc,NYC,NY,USA,2
10142,33,100,13,4985.64,Shipped,3,8,2003,Classic Cars,151,S12_3148,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,2
10185,33,100,14,4038.21,Shipped,4,11,2003,Classic Cars,151,S12_3148,Mini Creations Ltd.,New Bedford,MA,USA,2
10196,24,100,6,3807.12,Shipped,4,11,2003,Classic Cars,151,S12_3148,Super Scale Inc.,New Haven,CT,USA,2
10272,27,100,3,4283.01,Shipped,3,7,2004,Classic Cars,151,S12_3148,Diecast Classics Inc.,Allentown,PA,USA,2
10282,27,100,6,4364.82,Shipped,3,8,2004,Classic Cars,151,S12_3148,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,2
10324,27,54.33,1,1466.91,Shipped,4,11,2004,Classic Cars,151,S12_3148,Vitachrome Inc.,NYC,NY,USA,2
10382,37,100,11,4071.85,Shipped,1,2,2005,Classic Cars,151,S12_3148,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,2
10413,47,100,3,8236.75,Shipped,2,5,2005,Classic Cars,151,S12_3148,Gift Depot Inc.,Bridgewater,CT,USA,2
10135,48,100,5,6031.68,Shipped,3,7,2003,Classic Cars,117,S12_3380,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,2
10147,31,100,5,3494.94,Shipped,3,9,2003,Classic Cars,117,S12_3380,Collectables For Less Inc.,Brickhaven,MA,USA,2
10160,46,100,6,5294.14,Shipped,4,10,2003,Classic Cars,117,S12_3380,"Men 'R' US Retailers, Ltd.",Los Angeles,CA,USA,2
10276,47,100,1,5464.69,Shipped,3,8,2004,Classic Cars,117,S12_3380,Online Mini Collectables,Brickhaven,MA,USA,2
10329,46,83.63,13,3846.98,Shipped,4,11,2004,Classic Cars,117,S12_3380,Land of Toys Inc.,NYC,NY,USA,2
10376,35,100,1,3987.2,Shipped,1,2,2005,Classic Cars,117,S12_3380,Boards & Toys Co.,Glendale,CA,USA,2
10127,42,100,1,8138.76,Shipped,2,6,2003,Classic Cars,173,S12_3891,Muscle Machine Inc,NYC,NY,USA,2
10142,46,100,11,9470.94,Shipped,3,8,2003,Classic Cars,173,S12_3891,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,2
10185,43,100,12,7886.2,Shipped,4,11,2003,Classic Cars,173,S12_3891,Mini Creations Ltd.,New Bedford,MA,USA,2
10196,38,100,4,7232.16,Shipped,4,11,2003,Classic Cars,173,S12_3891,Super Scale Inc.,New Haven,CT,USA,2
10272,39,100,1,7962.24,Shipped,3,7,2004,Classic Cars,173,S12_3891,Diecast Classics Inc.,Allentown,PA,USA,2
10282,24,100,4,3778.8,Shipped,3,8,2004,Classic Cars,173,S12_3891,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,2
10349,26,100,10,4408.56,Shipped,4,12,2004,Classic Cars,173,S12_3891,Muscle Machine Inc,NYC,NY,USA,2
10382,34,95.35,12,3241.9,Shipped,1,2,2005,Classic Cars,173,S12_3891,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,2
10396,33,100,3,6109.29,Shipped,1,3,2005,Classic Cars,173,S12_3891,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,2
10413,22,100,1,3387.78,Shipped,2,5,2005,Classic Cars,173,S12_3891,Gift Depot Inc.,Bridgewater,CT,USA,2
10135,24,75.01,8,1800.24,Shipped,3,7,2003,Classic Cars,79,S12_3990,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,2
10147,21,63.84,8,1340.64,Shipped,3,9,2003,Classic Cars,79,S12_3990,Collectables For Less Inc.,Brickhaven,MA,USA,2
10159,24,73.42,3,1762.08,Shipped,4,10,2003,Classic Cars,79,S12_3990,Corporate Gift Ideas Co.,San Francisco,CA,USA,2
10276,38,83.79,4,3184.02,Shipped,3,8,2004,Classic Cars,79,S12_3990,Online Mini Collectables,Brickhaven,MA,USA,2
10329,33,100,14,3607.56,Shipped,4,11,2004,Classic Cars,79,S12_3990,Land of Toys Inc.,NYC,NY,USA,2
10115,46,100,5,5723.78,Shipped,2,4,2003,Trucks and Buses,118,S12_4473,Classic Legends Inc.,NYC,NY,USA,3
10127,24,100,11,2559.6,Shipped,2,6,2003,Trucks and Buses,118,S12_4473,Muscle Machine Inc,NYC,NY,USA,3
10195,49,100,6,6445.46,Shipped,4,11,2003,Trucks and Buses,118,S12_4473,Mini Classics,White Plains,NY,USA,3
10207,34,99.54,7,3384.36,Shipped,4,12,2003,Trucks and Buses,118,S12_4473,Diecast Collectables,Boston,MA,USA,3
10219,48,100,2,4891.68,Shipped,1,2,2004,Trucks and Buses,118,S12_4473,Signal Collectibles Ltd.,Brisbane,CA,USA,3
10229,36,100,1,4521.96,Shipped,1,3,2004,Trucks and Buses,118,S12_4473,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,3
10271,31,97.17,5,3012.27,Shipped,3,7,2004,Trucks and Buses,118,S12_4473,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,3
10281,41,100,1,5247.18,Shipped,3,8,2004,Trucks and Buses,118,S12_4473,Diecast Classics Inc.,Allentown,PA,USA,3
10292,21,100,8,2214.87,Shipped,3,9,2004,Trucks and Buses,118,S12_4473,Land of Toys Inc.,NYC,NY,USA,3
10305,38,100,5,4773.18,Shipped,4,10,2004,Trucks and Buses,118,S12_4473,Marta's Replicas Co.,Cambridge,MA,USA,3
10324,26,58.38,7,1517.88,Shipped,4,11,2004,Trucks and Buses,118,S12_4473,Vitachrome Inc.,NYC,NY,USA,3
10349,48,100,9,5232.96,Shipped,4,12,2004,Trucks and Buses,118,S12_4473,Muscle Machine Inc,NYC,NY,USA,3
10371,49,35.71,4,1749.79,Shipped,1,1,2005,Trucks and Buses,118,S12_4473,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,3
10382,32,66.58,13,2130.56,Shipped,1,2,2005,Trucks and Buses,118,S12_4473,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,3
10135,29,97.89,4,2838.81,Shipped,3,7,2003,Classic Cars,115,S12_4675,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,2
10147,33,97.89,4,3230.37,Shipped,3,9,2003,Classic Cars,115,S12_4675,Collectables For Less Inc.,Brickhaven,MA,USA,2
10160,50,100,5,5182,Shipped,4,10,2003,Classic Cars,115,S12_4675,"Men 'R' US Retailers, Ltd.",Los Angeles,CA,USA,2
10192,27,100,16,3544.56,Shipped,4,11,2003,Classic Cars,115,S12_4675,Online Diecast Creations Co.,Nashua,NH,USA,2
10321,24,100,15,2984.88,Shipped,4,11,2004,Classic Cars,115,S12_4675,FunGiftIdeas.com,New Bedford,MA,USA,2
10329,39,64.74,15,2524.86,Shipped,4,11,2004,Classic Cars,115,S12_4675,Land of Toys Inc.,NYC,NY,USA,2
10113,49,100,4,4916.66,Shipped,1,3,2003,Trucks and Buses,116,S18_1097,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,3
10140,32,100,10,4181.44,Shipped,3,7,2003,Trucks and Buses,116,S18_1097,Technics Stores Inc.,Burlingame,CA,USA,3
10183,21,96.84,7,2033.64,Shipped,4,11,2003,Trucks and Buses,116,S18_1097,"Classic Gift Ideas, Inc",Philadelphia,PA,USA,3
10215,46,100,2,5152,Shipped,1,1,2004,Trucks and Buses,116,S18_1097,West Coast Collectables Co.,Burbank,CA,USA,3
10228,32,100,1,3360,Shipped,1,3,2004,Trucks and Buses,116,S18_1097,Cambridge Collectables Co.,Cambridge,MA,USA,3
10245,29,100,8,3451,Shipped,2,5,2004,Trucks and Buses,116,S18_1097,Super Scale Inc.,New Haven,CT,USA,3
10312,32,100,2,4181.44,Shipped,4,10,2004,Trucks and Buses,116,S18_1097,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,3
10322,22,100,10,2251.04,Shipped,4,11,2004,Trucks and Buses,116,S18_1097,Online Diecast Creations Co.,Nashua,NH,USA,3
10333,29,40.25,7,1167.25,Shipped,4,11,2004,Trucks and Buses,116,S18_1097,Mini Wheels Co.,San Francisco,CA,USA,3
10357,39,98,1,3822,Shipped,4,12,2004,Trucks and Buses,116,S18_1097,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,3
10381,48,98,2,4704,Shipped,1,2,2005,Trucks and Buses,116,S18_1097,Corporate Gift Ideas Co.,San Francisco,CA,USA,3
10109,26,100,4,4379.18,Shipped,1,3,2003,Classic Cars,141,S18_1129,Motor Mint Distributors Inc.,Philadelphia,PA,USA,2
10192,22,100,11,3300.66,Shipped,4,11,2003,Classic Cars,141,S18_1129,Online Diecast Creations Co.,Nashua,NH,USA,2
10204,42,100,17,6182.4,Shipped,4,12,2003,Classic Cars,141,S18_1129,Muscle Machine Inc,NYC,NY,USA,2
10278,34,100,6,4667.86,Shipped,3,8,2004,Classic Cars,141,S18_1129,Signal Gift Stores,Las Vegas,NV,USA,2
10321,41,100,10,5803.14,Shipped,4,11,2004,Classic Cars,141,S18_1129,FunGiftIdeas.com,New Bedford,MA,USA,2
10331,46,100,6,6434.02,Shipped,4,11,2004,Classic Cars,141,S18_1129,Motor Mint Distributors Inc.,Philadelphia,PA,USA,2
10365,30,87.06,1,2611.8,Shipped,1,1,2005,Classic Cars,141,S18_1129,Mini Creations Ltd.,New Bedford,MA,USA,2
10390,36,93.77,14,3375.72,Shipped,1,3,2005,Classic Cars,141,S18_1129,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,2
10102,39,100,2,4808.31,Shipped,1,1,2003,Vintage Cars,102,S18_1342,Vitachrome Inc.,NYC,NY,USA,3
10111,33,99.66,6,3288.78,Shipped,1,3,2003,Vintage Cars,102,S18_1342,Mini Wheels Co.,San Francisco,CA,USA,3
10149,50,100,4,5907.5,Shipped,3,9,2003,Vintage Cars,102,S18_1342,Signal Collectibles Ltd.,Brisbane,CA,USA,3
10162,48,91.44,2,4389.12,Shipped,4,10,2003,Vintage Cars,102,S18_1342,Corporate Gift Ideas Co.,San Francisco,CA,USA,3
10182,25,87.33,3,2183.25,Shipped,4,11,2003,Vintage Cars,102,S18_1342,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,3
10215,27,89.38,10,2413.26,Shipped,1,1,2004,Vintage Cars,102,S18_1342,West Coast Collectables Co.,Burbank,CA,USA,3
10312,43,89.38,10,3843.34,Shipped,4,10,2004,Vintage Cars,102,S18_1342,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,3
10322,43,86.3,14,3710.9,Shipped,4,11,2004,Vintage Cars,102,S18_1342,Online Diecast Creations Co.,Nashua,NH,USA,3
10346,42,36.11,3,1516.62,Shipped,4,11,2004,Vintage Cars,102,S18_1342,Signal Gift Stores,Las Vegas,NV,USA,3
10369,44,100,8,9240.44,Shipped,1,1,2005,Vintage Cars,102,S18_1342,Collectables For Less Inc.,Brickhaven,MA,USA,3
10102,41,50.14,1,2055.74,Shipped,1,1,2003,Vintage Cars,53,S18_1367,Vitachrome Inc.,NYC,NY,USA,3
10111,48,49.06,5,2354.88,Shipped,1,3,2003,Vintage Cars,53,S18_1367,Mini Wheels Co.,San Francisco,CA,USA,3
10149,30,58.22,3,1746.6,Shipped,3,9,2003,Vintage Cars,53,S18_1367,Signal Collectibles Ltd.,Brisbane,CA,USA,3
10162,45,51.21,1,2304.45,Shipped,4,10,2003,Vintage Cars,53,S18_1367,Corporate Gift Ideas Co.,San Francisco,CA,USA,3
10182,32,54.45,2,1742.4,Shipped,4,11,2003,Vintage Cars,53,S18_1367,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,3
10215,33,43.13,9,1423.29,Shipped,1,1,2004,Vintage Cars,53,S18_1367,West Coast Collectables Co.,Burbank,CA,USA,3
10312,25,44.21,9,1105.25,Shipped,4,10,2004,Vintage Cars,53,S18_1367,Mini Gifts Distributors Ltd.,San Rafael,CA,USA,3
10322,41,57.68,5,2364.88,Shipped,4,11,2004,Vintage Cars,53,S18_1367,Online Diecast Creations Co.,Nashua,NH,USA,3
10369,32,98.63,7,3156.16,Shipped,1,1,2005,Vintage Cars,53,S18_1367,Collectables For Less Inc.,Brickhaven,MA,USA,3
10381,25,52.83,9,1320.75,Shipped,1,2,2005,Vintage Cars,53,S18_1367,Corporate Gift Ideas Co.,San Francisco,CA,USA,3
10172,42,100,6,4965.24,Shipped,4,11,2003,Classic Cars,124,S18_1589,Gift Depot Inc.,Bridgewater,CT,USA,2
10192,29,100,7,4258.36,Shipped,4,11,2003,Classic Cars,124,S18_1589,Online Diecast Creations Co.,Nashua,NH,USA,2
10204,40,100,13,4032,Shipped,4,12,2003,Classic Cars,124,S18_1589,Muscle Machine Inc,NYC,NY,USA,2
10226,38,100,4,4161.38,Shipped,1,2,2004,Classic Cars,124,S18_1589,Collectable Mini Designs Co.,San Diego,CA,USA,2
10278,23,100,2,2604.52,Shipped,3,8,2004,Classic Cars,124,S18_1589,Signal Gift Stores,Las Vegas,NV,USA,2
